ship,fandom,genre,relType,isCanon,isRPF,totalWorks
Bakugou Katsuki/Reader,Boku NoHero Academia | My Hero Academia,Superhero,XReader,No,XReader,6773
Bakugou Katsuki/Shinsou Hitoshi,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,1817
Bakugou Katsuki/Todoroki Shouto,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,11682
Bakugou Katsuki/Uraraka Ochako,Boku NoHero Academia | My Hero Academia,Superhero,F/M,No,No,6854
Bakugou Masaru/Bakugou Mitsuki,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,1199
BamBam Kunpimook Bhuwakul/Kim Yugyeom,GOT7 (Band),K-Pop,M/M,No,Yes,1076
Bang Chan/Han Jisung | Han,Stray Kids (Band),K-Pop,M/M,No,Yes,1886
Bang Chan/Hwang Hyunjin,Stray Kids (Band),K-Pop,M/M,No,Yes,2180
Bang Chan/Kim Seungmin,Stray Kids (Band),K-Pop,M/M,No,Yes,1117
Bang Chan/Kim Woojin,Stray Kids (Band),K-Pop,M/M,No,Yes,1636
Bang Chan/Lee Felix,Stray Kids (Band),K-Pop,M/M,No,Yes,6016
Bang Chan/Lee Minho | Lee Know,Stray Kids (Band),K-Pop,M/M,No,Yes,5184
Bang Chan/Reader,Stray Kids (Band),K-Pop,XReader,No,XReader,1233
Bang Chan/Seo Changbin,Stray Kids (Band),K-Pop,M/M,No,Yes,1959
Bang Chan/Yang Jeongin | I.N,Stray Kids (Band),K-Pop,M/M,No,Yes,1730
Barbara Gordon/Dick Grayson,Batman - All Media Types,Superhero,F/M,Yes,No,2580
Bard of Laketown/Thranduil,The Hobbit - All Media Types,Fantasy,M/M,No,No,1130
Bard the Bowman/Thranduil,The Hobbit - All Media Types,Fantasy,M/M,No,No,1612
"Barnaby ""Bunny"" Brooks Jr./Kaburagi T. Kotetsu",Tiger & Bunny,Superhero,M/M,Yes,No,1207
Barry Allen/Hal Jordan,The Flash (TV 2014),Superhero,M/M,No,No,1346
Barry Allen/Iris West,The Flash (TV 2014),Superhero,F/M,Yes,No,4889
Barry Allen/Leonard Snart,The Flash (TV 2014),Superhero,M/M,No,No,4378
Barry Allen/Oliver Queen,The Flash (TV 2014),Superhero,M/M,No,No,1635
Barry Bluejeans/Lup,The Adventure Zone,Fantasy,F/M,Yes,No,1991
Bart Allen/Jaime Reyes,Young Justice,Superhero,M/M,No,No,1016
Barty Crouch Jr./Evan Rosier,Harry Potter - J. K. Rowling,Fantasy,M/M,No,No,5060
Basil & Sunny,OMORI,Video Game,Gen,Yes,No,1000
Basil/Sunny,OMORI,Video Game,M/M,No,No,1686
Batman/Nightwing,Batman - All Media Types,Superhero,M/M,No,No,1157
Batman/Robin,Batman - All Media Types,Superhero,M/M,No,No,2363
Beast/Belle,Beauty and the Beast,Romance,F/M,Yes,No,1270
Beauregard Lionett/Yasha,Critical Role,Video Game,F/F,Yes,No,2346
Beelzebub/Gabriel,Good Omens,Fantasy,Other,Yes,No,2634
Beelzebub/Reader,Good Omens,Fantasy,XReader,No,XReader,1116
Beidou/Ningguang,Genshin Impact,Video Game,F/F,No,No,3047
Bellamy Blake/Clarke Griffin,The 100,Science Fiction,F/M,No,No,14380
Bellamy Blake/John Murphy,The 100,Science Fiction,M/M,No,No,1204
Bellatrix Black Lestrange/Rodolphus Lestrange,Harry Potter - J. K. Rowling,Fantasy,F/M,Yes,No,1248
Belle & Rumplestiltskin | Mr. Gold,Once Upon a Time (TV),Fantasy,Gen,Yes,No,1215
Belle/Dark One,Once Upon a Time (TV),Fantasy,F/M,Yes,No,5561
Belle/Rumpelstiltskin | Mr. Gold,Once Upon a Time (TV),Fantasy,F/M,Yes,No,8703
Belphego/Reader,Shall We Date?: Obey Me!,Video Game,XReader,No,XReader,1010
Belphegor/Reader,Once Upon a Time (TV),Fantasy,XReader,No,XReader,1068
Ben Hanscom/Beverly Marsh,IT,Thriller,F/M,Yes,No,3452
Ben Hargreeves & Klaus Hargreeves,The Umbrella Academy,Science Fiction,Gen,Yes,No,1138
Ben Solo | Kylo Ren/Original Character(s),Star Wars,Science Fiction,Original,No,No,1354
Ben Solo | Kylo Ren/Original Female Character(s),Star Wars,Science Fiction,F/M,No,No,1313
Ben Solo | Kylo Ren/Reader,Star Wars,Science Fiction,XReader,No,XReader,3190
Ben Solo | Kylo Ren/You,Star Wars,Science Fiction,XReader,No,XReader,3032
Ben/Mal,Descendants,Fantasy,F/M,Yes,No,1380
Bennett/Razor,Genshin Impact,Video Game,M/M,No,No,1090
Benny Lafitte/Dean Winchester,Supernatural,Fantasy,M/M,No,No,1884
Benrey/Gordon Freeman,Half-Life,Video Game,M/M,Semi-Canon,No,1369
Benton Fraser/Ray Kowalski,due South,Slice of Life,M/M,No,No,4996
Benton Fraser/Ray Vecchio,due South,Slice of Life,M/M,No,No,1596
Berlin | Andrés de Fonollosa/Palermo | Martín Berrote,Money Heist,Crime,M/M,Yes,No,1104
Bernard Dowd/Tim Drake,DC Comics,Superhero,M/M,Yes,No,1132
Beth Boland/Rio,Good Girls,Crime,F/M,Semi-Canon,No,1855
Betty Cooper & Jughead Jones,Riverdale (TV 2017),Crime,Gen,Yes,No,1954
Betty Cooper/Jughead Jones,Riverdale (TV 2017),Crime,F/M,Yes,No,6300
Betty Cooper/Veronica Lodge,Riverdale (TV 2017),Crime,F/F,Yes,No,1066
Beverly Crusher/Jean-Luc Picard,Star Trek,Science Fiction,F/M,Semi-Canon,No,1513
Bilbo Baggins/Thorin Oakenshield,The Hobbit - All Media Types,Fantasy,M/M,No,No,11473
Bill Cipher/Dipper Pines,Gravity Falls,Fantasy,M/M,No,No,4215
Bill Denbrough/Mike Hanlon,IT,Thriller,M/M,No,No,1037
Bill Denbrough/Stanley Uris,IT,Thriller,M/M,No,No,2015
Billy Boyd/Dominic Monaghan,British Actor RPF,Celebrity RPF,M/M,No,Yes,1016
"Billy Hargrove & Maxine ""Max"" Mayfield",Stranger Things,Thriller,Gen,Yes,No,1369
Billy Hargrove/Steve Harrington,Stranger Things,Thriller,M/M,No,No,9701
Black Pete/Lucius Spriggs,Our Flag Means Death (TV),Romance,M/M,Yes,No,2066
Blackbeard | Edward Teach & Israel Hands,Our Flag Means Death (TV),Romance,Gen,Yes,No,1026
Blackbeard | Edward Teach/Israel Hands,Our Flag Means Death (TV),Romance,M/M,No,No,3816
Blackbeard | Edward Teach/Stede Bonnet,Our Flag Means Death (TV),Romance,M/M,Yes,No,18050
Blackbeard | Edward Teach/Stede Bonnet/Israel Hands,Our Flag Means Death (TV),Romance,Multi,No,No,2581
Blackwall/Female Inquisitor,Dragon Age,Video Game,F/M,Semi-Canon,No,1155
Blackwall/Inquisitor,Dragon Age,Video Game,Other,Semi-Canon,No,1191
Blade/Dan Heng,Honkai: Star Rail,Video Game,M/M,No,No,4633
Blade/Jing Yuan,Honkai: Star Rail,Video Game,M/M,No,No,1400
Blaine Anderson/Kurt Hummel,Glee,Slice of Life,M/M,Yes,No,17843
Blaine Anderson/Sam Evans,Glee,Slice of Life,M/M,No,No,1032
Blaine Anderson/Sebastian Smythe,Glee,Slice of Life,M/M,Semi-Canon,No,2322
Blake Belladonna/Yang Xiao Long,RWBY,Fantasy,F/F,Yes,No,7582
Blitzo/Stolas Goetia,Hazbin Hotel,Fantasy,M/M,Semi-Canon,No,4596
Bojan Cvjetićanin/Jere Pöyhönen | Käärijä,European Music RPF,Western Artist,M/M,No,No,1063
Bokuto Koutarou/Kuroo Tetsurou,Haikyuu!!,Sports,M/M,No,No,2973
Bokuto Koutarou/Reader,Haikyuu!!,Sports,XReader,No,XReader,1297
Bolin/Opal,The Legend of Korra,Fantasy,F/M,Yes,No,1034
Boo Seungkwan/Chwe Hansol | Vernon,SEVENTEEN (Band),K-Pop,M/M,No,Yes,3457
Bow/Glimmer,She-Ra and the Princesses of Power (2018),Fantasy,F/M,Yes,No,2657
Bowser/Luigi,Nintendo,Video Game,M/M,No,No,1131
Brad Colbert/Nate Fick,Generation Kill,Historical,M/M,No,No,1065
"Bradley ""Rooster"" Bradshaw & Pete ""Maverick"" Mitchell",Top Gun,Thriller,Gen,Yes,No,1346
"Bradley ""Rooster"" Bradshaw/Jake ""Hangman"" Seresin",Top Gun,Thriller,M/M,No,No,3163
"Bradley ""Rooster"" Bradshaw/Pete ""Maverick"" Mitchell",Top Gun,Thriller,M/M,No,No,1213
Bram Greenfeld/Simon Spier,Love Simon,Romance,M/M,Yes,No,1165
Branch/Poppy,Trolls,Fantasy,F/M,Yes,No,1710
Breakdown/Knock Out,Transformers,Science Fiction,M/M,Yes,No,1159
Brendon Urie/Dallon Weekes,Panic! at the Disco,Western Artist,M/M,No,No,1022
Brian Kinney/Justin Taylor,Queer as Folk (US),Romance,M/M,Yes,No,6268
Brian May/Roger Taylor,Queen,Western Artist,M/M,No,Yes,1774
Bright Vachirawit Chivaaree/Win Metawin Opas-iamkajorn,Thai Actor RPF,Celebrity RPF,M/M,No,Yes,1109
Bruce Banner & Tony Stark,The Avengers (Marvel Movies),Superhero,Gen,Yes,No,2736
Bruce Banner/Clint Barton,The Avengers (Marvel Movies),Superhero,M/M,No,No,1285
Bruce Banner/Natasha Romanov,The Avengers (Marvel Movies),Superhero,F/M,Semi-Canon,No,3376
Bruce Banner/Thor,The Avengers (Marvel Movies),Superhero,M/M,No,No,2353
Bruce Banner/Tony Stark,The Avengers (Marvel Movies),Superhero,M/M,No,No,4729
Bruce Wayne & Damian Wayne,Batman - All Media Types,Superhero,Gen,Yes,No,2594
Bruce Wayne/Reader,Batman - All Media Types,Superhero,XReader,No,XReader,1082
Bruce Wayne/You,Batman - All Media Types,Superhero,XReader,No,XReader,1099
BruNoBuccellati/GiorNoGiovanna,JoJo's Bizarre Adventure,Fantasy,M/M,No,No,1139
Bulma Briefs/Vegeta,Dragon Ball Z,Fantasy,F/M,Yes,No,3830
Byun Baekhyun/Do Kyungsoo | D.O,EXO (Band),K-Pop,M/M,No,Yes,2097
Byun Baekhyun/Kim Jongdae | Chen,EXO (Band),K-Pop,M/M,No,Yes,1298
Byun Baekhyun/Oh Sehun,EXO (Band),K-Pop,M/M,No,Yes,1257
Byun Baekhyun/Park Chanyeol,EXO (Band),K-Pop,M/M,No,Yes,9520
Caelus/Dan Heng,Honkai: Star Rail,Video Game,M/M,No,No,1175
Caitlyn/Vi,Arcane: League of Legends (Cartoon 2021),Fantasy,F/F,Semi-Canon,No,6609
"Callum ""Halfway"" Highway/Ben Mitchell",EastEnders,Slice of Life,M/M,Yes,No,2097
Callum/Rayla,The Dragon Prince,Fantasy,F/M,Yes,No,2267
Calum Hood/Ashton Irwin,5 Seconds of Summer (Band),Western Artist,M/M,No,Yes,1225
Calypso/Leo Valdez,The Heroes of Olympus,Fantasy,F/M,Yes,No,1545
Camila Noceda & Luz Noceda,The Owl House,Fantasy,Gen,Yes,No,1231
Canada/Prussia,Hetalia: Axis Powers,Historical,M/M,No,No,1532
Captain Cold/The Flash,The Flash (TV 2014),Superhero,M/M,No,No,3852
Captain Flint | James McGraw/John Silver,Black Sails,Historical,M/M,No,No,1981
Captain Flint | James McGraw/Thomas Hamilton,Black Sails,Historical,M/M,Yes,No,1357
Captain Hook | Killian Jones/Emma Swan,Once Upon a Time (TV),Fantasy,F/M,Yes,No,11334
Cara | CaptainPuffy/Niki | Nihachu,YouTube RPF,Youtube RPF,F/F,No,Yes,1064
Cardinal Copia | Papa Emeritus IV/You,Ghostpedia,Western Artist,XReader,No,XReader,1225
Carlisle Cullen/Esme Cullen,Twilight Series - Stephenie Meyer,Romance,F/M,Yes,No,2094
"Carlos ""Cougar"" Alvarez/Jake Jensen",The Losers,Crime,M/M,No,No,1150
Carlos Reyes/TK Strand,9-1-2001,Crime,M/M,Yes,No,7270
Carlton Lassiter/Shawn Spencer,Psych,Crime,M/M,No,No,1370
Carmilla | Mircalla Countess Karnstein/Laura,Carmilla - J. Sheridan Le Fanu,Thriller,F/F,Yes,No,5316
Carol Aird/Therese Belivet,Carol,Romance,F/F,Yes,No,1483
Carol Danvers/Maria Rambeau,Marvel Cinematic Universe,Superhero,F/F,No,No,1133
Caroline Forbes/Klaus Mikaelson,Vampire Diaries,Romance,F/M,No,No,4179
Cassian Andor/Jyn Erso,Rogue One: A Star Wars Story (2016),Science Fiction,F/M,No,No,4200
Castiel & Dean Winchester,Supernatural,Fantasy,Gen,Yes,No,11523
Castiel & Dean Winchester & Sam Winchester,Supernatural,Fantasy,Gen,Yes,No,1484
Castiel & Sam Winchester,Supernatural,Fantasy,Gen,Yes,No,2705
Castiel/Dean Winchester,Supernatural,Fantasy,M/M,Semi-Canon,No,105320
Castiel/Dean Winchester/Sam Winchester,Supernatural,Fantasy,Multi,No,No,1804
Castiel/Meg Masters,Supernatural,Fantasy,F/M,Yes,No,1932
Castiel/Reader,Supernatural,Fantasy,XReader,No,XReader,1588
Castiel/Sam Winchester,Supernatural,Fantasy,M/M,No,No,4993
Castiel/You,Supernatural,Fantasy,XReader,No,XReader,2243
Catelyn Tully Stark/Ned Stark,Game of Thrones,Fantasy,F/M,Yes,No,3062
CC-2224 | Cody & CT-7567 | Rex,Star Wars,Science Fiction,Gen,Yes,No,1459
CC-2224 | Cody & Obi-Wan Kenobi,Star Wars,Science Fiction,Gen,Yes,No,2021
CC-2224 | Cody/Obi-Wan Kenobi,Star Wars,Science Fiction,M/M,No,No,5688
Cecil Palmer/Carlos Robles,Welcome to Night Vale,Science Fiction,M/M,Yes,No,4795
Cedric Diggory/Harry Potter,Harry Potter - J. K. Rowling,Fantasy,M/M,No,No,1313
Cersei Lannister/Jaime Lannister,Game of Thrones,Fantasy,F/M,Yes,No,2632
Cha Hakyeon | N/Jung Taekwoon | Leo,VIXX,K-Pop,M/M,No,Yes,1108
Chae Hyungwon/Lee Hoseok | Wonho,Monsta X (Band),K-Pop,M/M,No,Yes,1227
Chae Hyungwon/Lee Minhyuk,Monsta X (Band),K-Pop,M/M,No,Yes,1118
Chae Hyungwon/Shin Hoseok | Wonho,Monsta X (Band),K-Pop,M/M,No,Yes,1063
Chakotay/Kathryn Janeway,Star Trek: Voyager,Science Fiction,F/M,Semi-Canon,No,5840
Chan Cheuk-yin | Ian Chan/Kong Ip-sang | Anson Kong,Hong Kong RPF,Celebrity RPF,M/M,No,Yes,1355
Chara & Frisk,Undertale,Video Game,Gen,Yes,No,1171
Charles | Grian & Ryan | GoodTimesWithScar,Hermitcraft SMP,Youtube RPF,Gen,Yes,Yes,3092
Charles | Grian/Ryan | GoodTimesWithScar,Hermitcraft SMP,Youtube RPF,M/M,No,Yes,4085
Charles Leclerc/Max Verstappen,Formula 1 RPF,Sports RPF,M/M,No,Yes,3614
Charlie Magne | Morningstar & Lucifer Magne | Morningstar,Hazbin Hotel,Fantasy,Gen,Yes,No,1048
Charlie Magne/Vaggie,Hazbin Hotel,Fantasy,F/F,Yes,No,5986
Charlotte Heywood/Sidney Parker,Sanditon,Historical,F/M,Yes,No,1109
Chen Muchi/Yu Shi,Chinese Actor RPF,Celebrity RPF,M/M,No,Yes,1226
Cheng Xiaoshi/Lu Guang,Link Click,Fantasy,M/M,No,No,1264
Cheryl Blossom/Toni Topaz,Riverdale (TV 2017),Crime,F/F,Yes,No,2441
Chi-Chi/Son Goku,Dragon Ball Z,Fantasy,F/M,Yes,No,1989
Chiba Mamoru/TsukiNoUsagi,Sailor Moon,Fantasy,F/M,Yes,No,2257
China/Russia,Star Wars,Science Fiction,M/M,No,No,1871
Chirrut Îmwe/Baze Malbus,Star Wars,Science Fiction,M/M,No,No,1452
Chittaphon Leechaiyapornkul | Ten/Qian Kun,NCT (Band),K-Pop,M/M,No,Yes,1530
Chittaphon Leechaiyapornkul | Ten/Suh Youngho | Johnny,NCT (Band),K-Pop,M/M,No,Yes,2694
Chloe Beale & Beca Mitchell,Pitch Perfect (Movies),Slice of Life,Gen,Yes,No,1448
Chloe Beale/Beca Mitchell,Pitch Perfect (Movies),Slice of Life,F/F,Semi-Canon,No,4854
Chloe Decker & Lucifer Morningstar,Lucifer (TV),Crime,Gen,Yes,No,1883
Chloe Decker/Lucifer Morningstar,Lucifer (TV),Crime,F/M,Yes,No,7238
Cho Hakkai/Sha Gojyo,Saiyuki,Fantasy,M/M,No,No,1021
Choi Beomgyu/Choi Soobin,TOMORROW X TOGETHER,K-Pop,M/M,No,Yes,2072
Choi Beomgyu/Choi Yeonjun,TOMORROW X TOGETHER,K-Pop,M/M,No,Yes,2711
Choi Beomgyu/Kang Taehyun,TOMORROW X TOGETHER,K-Pop,M/M,No,Yes,3700
Choi Jongho/Kang Yeosang,ATEEZ (Band),K-Pop,M/M,No,No,1929
Choi Saeran/Main Character,Mystic Messenger,Video Game,F/M,No,No,1223
Choi San/Jung Wooyoung,ATEEZ (Band),K-Pop,M/M,No,No,5946
Choi San/Kang Yeosang,ATEEZ (Band),K-Pop,M/M,No,Yes,1069
Choi Seungcheol | S.Coups/Hong Jisoo | Joshua,SEVENTEEN (Band),K-Pop,M/M,No,Yes,1107
Choi Seungcheol | S.Coups/Hong Jisoo | Joshua/Yoon Jeonghan,SEVENTEEN (Band),K-Pop,M/M,No,Yes,1169
Choi Seungcheol | S.Coups/Lee Jihoon | Woozi,SEVENTEEN (Band),K-Pop,M/M,No,Yes,1739
Choi Seungcheol | S.Coups/Yoon Jeonghan,SEVENTEEN (Band),K-Pop,M/M,No,Yes,5662
Choi Soobin/Choi Yeonjun,TOMORROW X TOGETHER,K-Pop,M/M,No,Yes,6671
Choi Soobin/Huening Kai,TOMORROW X TOGETHER,K-Pop,M/M,No,Yes,1613
Choi Youngjae/Lim Jaebeom | Jay B,GOT7 (Band),K-Pop,M/M,No,Yes,1447
Chongyun & Xingqiu,Genshin Impact,Video Game,Gen,Yes,No,1134
Chongyun/Xingqiu,Genshin Impact,Video Game,M/M,No,No,3466
Chris Argent/Peter Hale,Teen Wolf,Fantasy,M/M,No,No,2256
Chris Colfer/Darren Criss,Glee RPF,Celebrity RPF,M/M,No,Yes,1565
Chris Evans/Reader,Marvel Cinematic Universe RPF,Celebrity RPF,XReader,No,XReader,1050
Chris Evans/Sebastian Stan,Marvel Cinematic Universe RPF,Celebrity RPF,M/M,No,Yes,1786
Chris Evans/You,Marvel Cinematic Universe RPF,Celebrity RPF,XReader,No,XReader,1090
Chris Pine/Zachary Quinto,Star Trek RPF,Science Fiction,M/M,No,No,1543
Chris Redfield/Albert Wesker,Resident Evil,Video Game,M/M,No,No,1374
Chrissy Cunningham/Eddie Munson,Stranger Things,Thriller,F/M,Semi-Canon,No,2835
Christine Daaé/Erik | Phantom of the Opera,Phantom of the Opera,Thriller,F/M,Yes,No,2654
Christopher Diaz & Eddie Diaz,9-1-2001,Crime,Gen,Yes,No,1395
Chrom/My Unit | Reflet | Robin,Fire Emblem,Video Game,Other,Semi-Canon,No,2206
Chu Wanning/Mo Ran | Mo Weiyu,The Husky and His White Cat Shizun - Meatbun Doesn't Eat Meat,Fantasy,M/M,Yes,No,2519
Chumnoy Doctor | Plague Doctor | Sergey Razumovsky/Oleg Volkov,Plague Doctor,Crime,M/M,Semi-Canon,No,1839
Cirilla Fiona Elen Riannon & Geralt z Rivii | Geralt of Rivia,The Witcher (TV),Fantasy,Gen,Yes,No,1219
Claire Beauchamp/Jamie Fraser,Outlander,Historical,F/M,Yes,No,2716
Clark Kent & Bruce Wayne,DC Comics,Superhero,Gen,Yes,No,2239
Clark Kent/Bruce Wayne,DC Comics,Superhero,M/M,No,No,10789
Clark Kent/Lex Luthor,Smallville,Superhero,M/M,No,No,6845
Clark Kent/Lois Lane,Smallville,Superhero,F/M,Yes,No,4081
Clarke Griffin & Lexa,The 100,Science Fiction,Gen,Yes,No,4554
Clarke Griffin/Lexa,The 100,Science Fiction,F/F,Yes,No,12693
Clary Fray/Isabelle Lightwood,Shadowhunters (TV),Science Fiction,F/M,No,No,1632
Clary Fray/Jace Lightwood,Shadowhunters (TV),Science Fiction,F/M,Yes,No,4060
Class 1-A & Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,5356
Clay | Dream & GeorgeNotFound,Youtube RPF,Youtube RPF,Gen,Yes,Yes,3952
Clay | Dream & GeorgeNotFound & Sapnap,Youtube RPF,Youtube RPF,Gen,Yes,Yes,6550
Clay | Dream & Ranboo,Youtube RPF,Youtube RPF,Gen,Yes,Yes,1459
Clay | Dream & Sapnap,Youtube RPF,Youtube RPF,Gen,Yes,Yes,4665
Clay | Dream & Technoblade,Youtube RPF,Youtube RPF,Gen,Yes,Yes,3569
Clay | Dream & Toby Smith | Tubbo,Youtube RPF,Youtube RPF,Gen,Yes,Yes,1000
Clay | Dream & TommyInnit,Youtube RPF,Youtube RPF,Gen,Yes,Yes,6761
Clay | Dream & Wilbur Soot,Youtube RPF,Youtube RPF,Gen,Yes,Yes,1195
Clay | Dream/Floris | Fundy,Youtube RPF,Youtube RPF,M/M,No,Yes,1146
Clay | Dream/GeorgeNotFound,Youtube RPF,Youtube RPF,M/M,No,Yes,23187
Clay | Dream/GeorgeNotFound/Sapnap,Youtube RPF,Youtube RPF,Multi,No,Yes,1885
Clay | Dream/Sapnap,Youtube RPF,Youtube RPF,M/M,No,Yes,3461
Clay | Dream/Technoblade,Youtube RPF,Youtube RPF,M/M,No,Yes,2345
Clint Barton & Kate Bishop,The Avengers (Marvel Movies),Superhero,Gen,Yes,No,1078
Clint Barton & Natasha Romanov,The Avengers (Marvel Movies),Superhero,Gen,Yes,No,5634
Clint Barton & Tony Stark,The Avengers (Marvel Movies),Superhero,Gen,Yes,No,1168
Clint Barton/Darcy Lewis,The Avengers (Marvel Movies),Superhero,F/M,No,No,1097
Clint Barton/Laura Barton,The Avengers (Marvel Movies),Superhero,F/M,Yes,No,2736
Clint Barton/Natasha Romanov,The Avengers (Marvel Movies),Superhero,F/M,No,No,11858
Clint Barton/Phil Coulson,The Avengers (Marvel Movies),Superhero,M/M,No,No,11178
Clint Barton/Reader,The Avengers (Marvel Movies),Superhero,XReader,No,XReader,1112
Clint Barton/Tony Stark,The Avengers (Marvel Movies),Superhero,M/M,No,No,1506
Cole & Lloyd Garmadon & Kai & Nya & Jay Walker & Zane,LEGO Ninjago,Fantasy,Gen,Yes,No,1405
Cole Cassidy/Genji Shimada,Overwatch,Video Game,M/M,No,No,1328
Cole Cassidy/Hanzo Shimada,Overwatch,Video Game,M/M,No,No,6636
Cole Cassidy/Reaper | Gabriel Reyes,Overwatch,Video Game,M/M,No,No,1144
Cole/Kai,LEGO Ninjago,Fantasy,M/M,No,No,1038
Colin Bridgerton & Penelope Featherington,Bridgerton,Historical,F/M,Yes,No,1465
Colin Bridgerton/Penelope Featherington,Bridgerton,Historical,F/M,Semi-Canon,No,4993
Combeferre/Courfeyrac,Les Misérables - All Media Types,Historical,M/M,No,No,2011
Commander/Inquisitor,Dragon Age: Inquisition,Video Game,F/M,Semi-Canon,No,5397
Connie Maheswaran/Steven Universe,Steven Universe,Fantasy,F/M,Yes,No,2375
Connor/Gavin Reed,Detroit: Become Human,Video Game,Other,No,No,1956
Connor/Markus,Detroit: Become Human,Video Game,Other,No,No,1534
Connor/Reader,Detroit: Become Human,Video Game,XReader,No,XReader,1549
Connor/Tim,DC Comics,Superhero,M/M,No,No,1425
Corey Bryant/Mason Hewitt,Teen Wolf,Fantasy,M/M,Yes,No,1342
Cosette Fauchelevent/Marius Pontmercy,Les Misérables - All Media Types,Historical,F/M,Yes,No,2219
Courfeyrac/Jean Prouvaire,Les Misérables - All Media Types,Historical,M/M,No,No,1275
Craig Tucker/Tweek Tweak,South Park,Slice of Life,M/M,Yes,No,8489
"Creativity | Roman ""Princey"" Sanders & Dark Creativity | Remus ""The Duke"" Sanders",Sanders Sides,Slice of Life,Gen,Yes,No,1498
"Creativity | Roman ""Princey"" Sanders/Deceit | Janus Sanders",Sanders Sides,Slice of Life,M/M,No,No,1452
"Creativity | Roman ""Princey"" Sanders/Logic | Logan Sanders",Sanders Sides,Slice of Life,M/M,No,No,2130
"Creativity | Roman ""Princey"" Sanders/Morality | Patton Sanders",Sanders Sides,Slice of Life,M/M,No,No,1452
Credence Barebone/Original Percival Graves,Fantastic Beasts and Where to Find Them,Fantasy,M/M,No,No,1830
Cronus Ampora/Kankri Vantas,Homestuck,Science Fiction,M/M,No,No,1060
Crowley/You,Good Omens,Fantasy,XReader,No,XReader,1009
CT-7567 | Rex & Ahsoka Tano,Star Wars,Science Fiction,Gen,Yes,No,1915
CT-7567 | Rex & Anakin Skywalker,Star Wars,Science Fiction,Gen,Yes,No,1295
CT-7567 | Rex/Ahsoka Tano,Star Wars,Science Fiction,F/M,No,No,1524
Cullen Rutherford/Female Mage Trevelyan,Dragon Age: Inquisition,Video Game,F/M,Semi-Canon,No,3036
Cullen Rutherford/Female Trevelyan,Dragon Age: Inquisition,Video Game,F/M,Semi-Canon,No,3959
Cullen Rutherford/Trevelyan,Dragon Age: Inquisition,Video Game,Other,Semi-Canon,No,4214
Cyno/Tighnari,Genshin Impact,Video Game,M/M,No,No,3956
Cyrus Goodman/T. J. Kippen,Andi Mack,Slice of Life,M/M,Yes,No,1985
Dabi | Todoroki Touya & Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,1385
Dabi | Todoroki Touya & Takami Keigo | Hawks,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,1846
Dabi | Todoroki Touya & Todoroki Shouto,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,2114
Dabi | Todoroki Touya/Reader,Boku NoHero Academia | My Hero Academia,Superhero,XReader,No,XReader,3438
Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,3687
Dabi | Todoroki Touya/Takami Keigo | Hawks,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,11658
Dabi/Shigaraki Tomura | Shimura Tenko,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,1376
Dabi/Takami Keigo | Hawks,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,2903
Daemon Targaryen/Rhaenyra Targaryen,A Song of Ice and Fire - George R. R. Martin,Fantasy,F/M,Yes,No,4944
Damen/Laurent,Captive Prince,Fantasy,M/M,Semi-Canon,No,2931
Damian Desmond/Anya Forger,SPY x FAMILY,Crime,F/M,Semi-Canon,No,1405
Dan Avidan/Arin Hanson,Game Grumps,Youtube RPF,M/M,No,Yes,1454
Dan Heng/Trailblazer,Honkai: Star Rail,Video Game,Other,No,Yes,1585
Dan Howell & Phil Lester,YouTube RPF,Youtube RPF,Gen,Yes,Yes,5344
Dan Howell/Phil Lester,YouTube RPF,Youtube RPF,M/M,Yes,Yes,17450
Dande | Leon/Kibana | Raihan,Pokémon,Video Game,M/M,No,No,1227
Dani Clayton/Jamie Taylor,The Haunting of Bly Manor (TV),Romance,F/F,Yes,No,1499
Daniel Jackson/Jack O'Neill,Stargate SG-1,Science Fiction,M/M,No,No,5518
Daniel LaRusso/Johnny Lawrence,Karate Kid,Slice of Life,M/M,No,No,2203
Daniel Ricciardo/Max Verstappen,Formula 1 RPF,Sports RPF,M/M,No,Yes,2389
Danny Fenton & Jazz Fenton,Danny Phantom,Superhero,Gen,Yes,No,1109
Danny Fenton & Tucker Foley & Sam Manson,Danny Phantom,Superhero,Gen,Yes,No,1239
Danny/Ethan,Teen Wolf,Fantasy,M/M,Yes,No,1144
Dante/Nero,Devil May Cry,Video Game,M/M,No,No,1454
Dante/Vergil,Devil May Cry,Video Game,M/M,No,No,5501
Daphne Greengrass/Harry Potter,Harry Potter - J. K. Rowling,Fantasy,F/M,No,No,1461
